,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,200.0,600.0,450.6459470517905,300.0
00:15,0.0,100.0,200.0,600.0,597.4084473893081,200.0
00:30,0.0,0.0,0.0,600.0,653.2036520646956,200.0
00:45,0.0,0.0,200.0,600.0,456.87151012488357,0.0
01:00,0.0,0.0,0.0,600.0,689.8273169512893,0.0
01:15,0.0,0.0,0.0,600.0,667.565811784912,0.0
01:30,0.0,0.0,0.0,600.0,681.3490745634418,0.0
01:45,0.0,0.0,0.0,600.0,683.7679888632084,0.0
02:00,0.0,0.0,0.0,600.0,643.3378875267578,0.0
02:15,0.0,0.0,0.0,600.0,679.1129522172222,0.0
02:30,0.0,0.0,0.0,600.0,687.8704183290145,0.0
02:45,0.0,0.0,0.0,600.0,706.0201141290195,0.0
03:00,0.0,200.0,0.0,600.0,869.3471360032215,200.0
03:15,0.0,0.0,200.0,600.0,452.62547146247437,0.0
03:30,0.0,0.0,0.0,600.0,690.03629646625,0.0
03:45,0.0,200.0,0.0,600.0,896.5520430791577,200.0
04:00,0.0,200.0,0.0,600.0,898.4631341717864,400.0
04:15,0.0,200.0,0.0,600.0,864.4340012568805,600.0
04:30,0.0,200.0,0.0,600.0,833.1244304908614,800.0
04:45,0.0,200.0,0.0,600.0,870.2716559584527,1000.0
05:00,0.0,0.0,0.0,600.0,674.4662448950596,1000.0
05:15,0.0,0.0,0.0,600.0,665.4632077209783,1000.0
05:30,0.0,0.0,0.0,600.0,644.0681600520635,1000.0
05:45,0.0,0.0,0.0,600.0,647.9734218645722,1000.0
06:00,0.0,0.0,0.0,600.0,684.056722230058,1000.0
06:15,0.0,0.0,0.0,600.0,627.6209631296402,1000.0
06:30,0.0,0.0,200.0,600.0,443.70758885194687,800.0
06:45,0.0,200.0,0.0,600.0,955.1872033934485,1000.0
07:00,0.0,0.0,0.0,600.0,754.2800103481075,1000.0
07:15,0.0,0.0,0.0,600.0,711.0158962307096,1000.0
07:30,0.0,0.0,0.0,600.0,703.2653684779739,1000.0
07:45,0.0,0.0,0.0,600.0,653.8877082891411,1000.0
08:00,0.0,0.0,0.0,600.0,565.5414026687142,1000.0
08:15,0.0,0.0,0.0,600.0,566.7105678405328,1000.0
08:30,0.0,0.0,0.0,600.0,605.5966244179268,1000.0
08:45,0.0,0.0,200.0,600.0,418.9915370734352,800.0
09:00,437.1420955043841,0.0,200.0,600.0,0.0,600.0
09:15,568.787335513958,0.0,200.0,600.0,0.0,400.0
09:30,1106.8575329171672,0.0,200.0,600.0,0.0,200.0
09:45,1111.933448219925,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,0.0,874.6570720697239,0.0
10:15,0.0,0.0,0.0,0.0,1876.5135022923987,0.0
10:30,0.0,0.0,0.0,0.0,918.6136516793597,0.0
10:45,0.0,0.0,0.0,0.0,714.5647803272034,0.0
11:00,0.0,0.0,0.0,0.0,692.388716485784,0.0
11:15,0.0,0.0,0.0,600.0,622.5425051495031,0.0
11:30,0.0,0.0,0.0,600.0,610.9058758396416,0.0
11:45,0.0,0.0,0.0,600.0,722.3330472999022,0.0
12:00,0.0,0.0,0.0,0.0,879.860949582084,0.0
12:15,0.0,0.0,0.0,0.0,778.4010502441479,0.0
12:30,0.0,0.0,0.0,0.0,792.0687742980832,0.0
12:45,0.0,200.0,0.0,0.0,1045.3422347007622,200.0
13:00,0.0,200.0,0.0,600.0,952.0462915545546,400.0
13:15,0.0,200.0,0.0,600.0,923.3444626109791,600.0
13:30,0.0,200.0,0.0,600.0,840.5290121084486,800.0
13:45,0.0,200.0,0.0,600.0,814.9861708840693,1000.0
14:00,0.0,0.0,0.0,0.0,208.61528009525463,1000.0
14:15,0.0,0.0,0.0,600.0,740.1708595451969,1000.0
14:30,0.0,0.0,0.0,600.0,726.9471181363758,1000.0
14:45,0.0,0.0,0.0,600.0,689.914934711992,1000.0
15:00,0.0,0.0,0.0,600.0,727.7742288761506,1000.0
15:15,0.0,0.0,0.0,0.0,284.095509886643,1000.0
15:30,0.0,0.0,0.0,0.0,617.244522775163,1000.0
15:45,0.0,0.0,0.0,0.0,407.6329427584026,1000.0
16:00,765.8567465015786,0.0,0.0,600.0,0.0,1000.0
16:15,750.5087155962633,0.0,0.0,600.0,0.0,1000.0
16:30,977.509734300246,0.0,0.0,600.0,0.0,1000.0
16:45,1200.0,0.0,200.0,600.0,85.00382289993354,800.0
17:00,1200.0,0.0,117.00321849260649,600.0,0.0,682.9967815073935
17:15,1200.0,0.0,200.0,600.0,109.65521496605334,482.9967815073935
17:30,1200.0,0.0,200.0,600.0,123.87931602595222,282.9967815073935
17:45,1200.0,0.0,200.0,600.0,151.80414461744567,82.99678150739351
18:00,1200.0,134.10373495221597,0.0,600.0,0.0,217.10051645960948
18:15,1125.7157173396993,200.0,0.0,600.0,0.0,417.1005164596095
18:30,1200.0,200.0,168.39476794915709,600.0,0.0,448.7057485104524
18:45,1047.266714633495,0.0,200.0,600.0,0.0,248.7057485104524
19:00,767.687751426545,0.0,200.0,600.0,0.0,48.705748510452395
19:15,973.6007817033294,0.0,48.705748510452395,600.0,0.0,0.0
19:30,1164.1136555553826,200.0,0.0,600.0,0.0,200.0
19:45,738.2876179361297,0.0,200.0,600.0,0.0,0.0
20:00,0.0,0.0,0.0,600.0,946.9066253938181,0.0
20:15,0.0,200.0,0.0,600.0,1168.9629090970534,200.0
20:30,0.0,0.0,0.0,600.0,886.5040589434811,200.0
20:45,0.0,0.0,200.0,600.0,677.8772483508479,0.0
21:00,0.0,0.0,0.0,0.0,432.37532096291886,0.0
21:15,0.0,0.0,0.0,0.0,355.2158241425013,0.0
21:30,0.0,0.0,0.0,0.0,413.27198951648137,0.0
21:45,0.0,0.0,0.0,0.0,353.0803298078049,0.0
22:00,0.0,0.0,0.0,0.0,316.5721798298396,0.0
22:15,0.0,0.0,0.0,0.0,417.7175860318079,0.0
22:30,0.0,0.0,0.0,0.0,236.84032290299186,0.0
22:45,0.0,0.0,0.0,0.0,207.32482383799237,0.0
23:00,0.0,0.0,0.0,0.0,280.13553362220694,0.0
23:15,0.0,0.0,0.0,0.0,1093.0702263712042,0.0
23:30,0.0,0.0,0.0,0.0,328.7042272903495,0.0
23:45,0.0,0.0,0.0,0.0,293.3762333242828,0.0
