,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,100.0,600.0,523.4619440340981,400.0
00:15,0.0,0.0,200.0,600.0,472.38076760937645,200.0
00:30,0.0,0.0,0.0,600.0,717.1839498946363,200.0
00:45,0.0,0.0,200.0,600.0,482.1918558604183,0.0
01:00,0.0,0.0,0.0,600.0,702.7794529555201,0.0
01:15,0.0,0.0,0.0,600.0,651.9093760975583,0.0
01:30,0.0,0.0,0.0,600.0,705.3722273967385,0.0
01:45,0.0,0.0,0.0,600.0,699.4990988581291,0.0
02:00,0.0,0.0,0.0,600.0,721.7018001822552,0.0
02:15,0.0,0.0,0.0,600.0,688.4402650163731,0.0
02:30,0.0,0.0,0.0,600.0,688.268502478512,0.0
02:45,0.0,0.0,0.0,600.0,676.5187938456506,0.0
03:00,0.0,200.0,0.0,600.0,833.0914337939333,200.0
03:15,0.0,200.0,0.0,600.0,918.53411823489,400.0
03:30,0.0,0.0,200.0,600.0,461.41375536495184,200.0
03:45,0.0,0.0,0.0,600.0,669.8564892968516,200.0
04:00,0.0,200.0,0.0,600.0,833.477347725913,400.0
04:15,0.0,200.0,0.0,600.0,930.3575024840001,600.0
04:30,0.0,200.0,0.0,0.0,403.36785256190143,800.0
04:45,0.0,200.0,0.0,600.0,897.2842045600862,1000.0
05:00,0.0,0.0,0.0,600.0,712.6742178188025,1000.0
05:15,0.0,0.0,0.0,600.0,771.7555649513877,1000.0
05:30,0.0,0.0,0.0,600.0,792.9097760222396,1000.0
05:45,0.0,0.0,0.0,600.0,761.6886870423806,1000.0
06:00,0.0,0.0,0.0,600.0,603.2979999828303,1000.0
06:15,0.0,0.0,0.0,600.0,590.098713255258,1000.0
06:30,0.0,0.0,0.0,600.0,591.5265936141146,1000.0
06:45,0.0,0.0,0.0,600.0,760.8202764613102,1000.0
07:00,0.0,0.0,0.0,600.0,785.5764112058189,1000.0
07:15,0.0,0.0,0.0,600.0,640.1113712939484,1000.0
07:30,0.0,0.0,0.0,600.0,613.0784501757289,1000.0
07:45,0.0,0.0,0.0,600.0,733.0839287466245,1000.0
08:00,0.0,0.0,0.0,0.0,370.23400853833465,1000.0
08:15,0.0,0.0,0.0,0.0,1087.7005935149386,1000.0
08:30,0.0,0.0,0.0,0.0,643.9074919140919,1000.0
08:45,0.0,0.0,200.0,0.0,66.99950122211044,800.0
09:00,465.55136916341075,0.0,200.0,600.0,0.0,600.0
09:15,1075.3184216602513,0.0,200.0,600.0,0.0,400.0
09:30,1014.8822631557725,0.0,200.0,600.0,0.0,200.0
09:45,394.2798672142287,0.0,200.0,600.0,0.0,0.0
