,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,100.0,600.0,532.0840790594066,400.0
00:15,0.0,0.0,200.0,600.0,431.8281184509225,200.0
00:30,0.0,0.0,0.0,600.0,629.3695406261542,200.0
00:45,0.0,0.0,200.0,600.0,432.81511343183365,0.0
01:00,0.0,0.0,0.0,600.0,630.6515640941676,0.0
01:15,0.0,0.0,0.0,600.0,631.9941567007102,0.0
01:30,0.0,0.0,0.0,600.0,629.6401618558305,0.0
01:45,0.0,0.0,0.0,600.0,644.0380883463913,0.0
02:00,0.0,0.0,0.0,600.0,674.6860434297715,0.0
02:15,0.0,0.0,0.0,600.0,632.5586724177006,0.0
02:30,0.0,0.0,0.0,600.0,631.4411719941353,0.0
02:45,0.0,0.0,0.0,600.0,632.0313133354648,0.0
03:00,0.0,0.0,0.0,600.0,631.1568435330423,0.0
03:15,0.0,0.0,0.0,600.0,632.2451781054737,0.0
03:30,0.0,200.0,0.0,600.0,874.3445211766032,200.0
03:45,0.0,200.0,200.0,600.0,644.1062210353871,200.0
04:00,0.0,200.0,0.0,600.0,830.5168579574538,400.0
04:15,0.0,200.0,0.0,600.0,830.9587762849017,600.0
04:30,0.0,200.0,0.0,600.0,830.3157309452058,800.0
04:45,0.0,200.0,0.0,600.0,857.9939611853302,1000.0
05:00,0.0,0.0,0.0,600.0,650.8639606096522,1000.0
05:15,0.0,0.0,0.0,600.0,629.0089759124435,1000.0
05:30,0.0,0.0,0.0,600.0,625.0655602142468,1000.0
05:45,0.0,0.0,0.0,600.0,624.2550940982379,1000.0
06:00,0.0,0.0,0.0,600.0,615.9216269455127,1000.0
06:15,0.0,0.0,0.0,600.0,613.1547953570558,1000.0
06:30,0.0,0.0,0.0,600.0,616.0795058369749,1000.0
06:45,0.0,0.0,0.0,600.0,615.8570970928054,1000.0
07:00,0.0,0.0,0.0,600.0,699.8333787210172,1000.0
07:15,0.0,0.0,0.0,600.0,685.2557766547346,1000.0
07:30,0.0,0.0,0.0,600.0,718.0616336798118,1000.0
07:45,0.0,0.0,0.0,0.0,629.412583378324,1000.0
08:00,0.0,0.0,0.0,600.0,761.3784697772483,1000.0
08:15,0.0,0.0,0.0,0.0,562.1328237723852,1000.0
08:30,0.0,0.0,0.0,0.0,520.2811687339727,1000.0
08:45,0.0,0.0,200.0,600.0,500.7049445179721,800.0
09:00,424.9752267226619,0.0,200.0,600.0,0.0,600.0
09:15,486.78911918784695,0.0,200.0,600.0,0.0,400.0
09:30,1089.3040535385617,0.0,200.0,600.0,0.0,200.0
09:45,852.8764574799102,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,600.0,649.7236570831591,0.0
10:15,0.0,0.0,0.0,600.0,710.5969195771675,0.0
10:30,0.0,0.0,0.0,600.0,618.6367677611985,0.0
10:45,0.0,0.0,0.0,0.0,372.0071286244721,0.0
11:00,0.0,200.0,0.0,0.0,1052.8033069169978,200.0
11:15,0.0,0.0,200.0,600.0,531.4256159035017,0.0
