,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,200.0,600.0,542.9473173224094,300.0
00:15,0.0,0.0,100.0,600.0,661.1180794901444,200.0
00:30,0.0,0.0,0.0,600.0,698.9803619408268,200.0
00:45,0.0,0.0,200.0,600.0,554.4544817146925,0.0
01:00,0.0,0.0,0.0,600.0,648.704404076981,0.0
01:15,0.0,0.0,0.0,600.0,687.1038163350834,0.0
01:30,0.0,0.0,0.0,600.0,636.5280134324504,0.0
01:45,0.0,0.0,0.0,600.0,639.3246672134276,0.0
02:00,0.0,0.0,0.0,600.0,672.4234642354756,0.0
02:15,0.0,0.0,0.0,600.0,683.7547256181274,0.0
02:30,0.0,0.0,0.0,600.0,665.3214380736598,0.0
02:45,0.0,0.0,0.0,600.0,635.917526223141,0.0
03:00,0.0,200.0,0.0,600.0,869.8342830129221,200.0
03:15,0.0,0.0,200.0,600.0,432.4703420538001,0.0
03:30,0.0,0.0,0.0,600.0,670.0555487739181,0.0
03:45,0.0,200.0,0.0,600.0,872.0975713172763,200.0
04:00,0.0,200.0,0.0,600.0,828.4697086984394,400.0
04:15,0.0,200.0,0.0,600.0,827.6695721453436,600.0
04:30,0.0,200.0,0.0,600.0,842.8018186276064,800.0
04:45,0.0,200.0,0.0,600.0,909.5898196902647,1000.0
05:00,0.0,0.0,0.0,600.0,650.9733559328563,1000.0
05:15,0.0,0.0,0.0,600.0,623.7049725238376,1000.0
05:30,0.0,0.0,0.0,600.0,618.9031097952911,1000.0
05:45,0.0,0.0,0.0,600.0,658.2488138941143,1000.0
06:00,0.0,0.0,0.0,600.0,624.7140824424749,1000.0
06:15,0.0,0.0,0.0,600.0,651.4142442242653,1000.0
06:30,0.0,0.0,0.0,600.0,612.0045649959025,1000.0
06:45,0.0,0.0,0.0,600.0,596.1784947330432,1000.0
07:00,0.0,0.0,200.0,600.0,426.52891613754105,800.0
07:15,0.0,0.0,0.0,600.0,577.2171514435443,800.0
07:30,0.0,200.0,0.0,600.0,851.6697007169013,1000.0
07:45,0.0,0.0,0.0,600.0,706.6961316856881,1000.0
08:00,0.0,0.0,0.0,600.0,664.3944456236369,1000.0
08:15,0.0,0.0,0.0,600.0,657.5701883139307,1000.0
08:30,0.0,0.0,0.0,600.0,677.5781497621313,1000.0
08:45,0.0,0.0,200.0,600.0,535.0571976521393,800.0
09:00,496.9271730999885,0.0,200.0,600.0,0.0,600.0
09:15,406.20403643050247,0.0,200.0,600.0,0.0,400.0
09:30,399.8141876021201,0.0,200.0,600.0,0.0,200.0
09:45,380.2496728596484,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,600.0,579.5611906345192,0.0
10:15,0.0,0.0,0.0,600.0,624.7644895337825,0.0
10:30,0.0,0.0,0.0,600.0,715.9055685801767,0.0
10:45,0.0,0.0,0.0,600.0,617.9411865617868,0.0
11:00,0.0,0.0,0.0,600.0,590.0219941840525,0.0
11:15,0.0,0.0,0.0,600.0,541.7144585127162,0.0
11:30,0.0,0.0,0.0,600.0,555.1406027433416,0.0
11:45,0.0,0.0,0.0,600.0,635.3146178300926,0.0
12:00,0.0,200.0,0.0,600.0,775.2388777746794,200.0
12:15,0.0,0.0,0.0,600.0,586.3371614977648,200.0
12:30,0.0,0.0,200.0,600.0,351.370739676727,0.0
12:45,0.0,200.0,0.0,600.0,774.6591072696128,200.0
13:00,0.0,200.0,0.0,600.0,912.8698260747761,400.0
13:15,0.0,200.0,0.0,600.0,816.9359774418364,600.0
13:30,0.0,200.0,0.0,600.0,725.1325969982709,800.0
13:45,0.0,200.0,0.0,600.0,973.7191071616052,1000.0
14:00,0.0,0.0,200.0,600.0,338.2890845914055,800.0
14:15,0.0,0.0,200.0,600.0,395.89847388902626,600.0
14:30,0.0,200.0,0.0,600.0,799.793117676417,800.0
14:45,0.0,200.0,0.0,600.0,764.2511330742332,1000.0
15:00,0.0,0.0,0.0,600.0,584.9355573847014,1000.0
15:15,0.0,0.0,0.0,600.0,594.6553274494165,1000.0
15:30,0.0,0.0,0.0,600.0,642.2235367077727,1000.0
15:45,0.0,0.0,0.0,600.0,622.6978314594074,1000.0
16:00,833.3451809015769,0.0,0.0,600.0,0.0,1000.0
16:15,588.9275209127386,0.0,0.0,600.0,0.0,1000.0
16:30,712.2031244947498,0.0,0.0,600.0,0.0,1000.0
16:45,666.7583554937315,0.0,0.0,600.0,0.0,1000.0
17:00,777.8821179948657,0.0,0.0,600.0,0.0,1000.0
17:15,963.7603442152586,0.0,0.0,600.0,0.0,1000.0
17:30,891.5966639982794,0.0,0.0,600.0,0.0,1000.0
17:45,717.5274030952423,0.0,200.0,600.0,0.0,800.0
18:00,838.761291801854,200.0,200.0,600.0,0.0,800.0
18:15,1005.6033320885927,200.0,0.0,600.0,0.0,1000.0
18:30,783.046619634833,0.0,172.5209445483406,600.0,0.0,827.4790554516594
18:45,918.535839318622,0.0,200.0,600.0,0.0,627.4790554516594
19:00,1200.0,0.0,200.0,600.0,36.73108438591839,427.4790554516594
19:15,1200.0,172.5209445483406,200.0,600.0,0.0,400.0
19:30,1200.0,0.0,200.0,600.0,60.95284517517257,200.0
19:45,670.3284388577842,0.0,200.0,600.0,0.0,0.0
20:00,0.0,0.0,0.0,600.0,930.6518265563852,0.0
20:15,0.0,0.0,0.0,600.0,918.7649114875045,0.0
20:30,0.0,200.0,0.0,600.0,1122.4980132014266,200.0
20:45,0.0,0.0,200.0,600.0,777.7100037819605,0.0
21:00,0.0,0.0,0.0,0.0,678.6923840824995,0.0
21:15,0.0,0.0,0.0,0.0,472.3765722946606,0.0
21:30,0.0,0.0,0.0,0.0,423.91509408593305,0.0
21:45,0.0,0.0,0.0,0.0,596.7518499575303,0.0
22:00,0.0,0.0,0.0,0.0,828.7133077213012,0.0
22:15,0.0,0.0,0.0,0.0,335.9129856249435,0.0
22:30,0.0,0.0,0.0,0.0,374.1543707653551,0.0
22:45,0.0,0.0,0.0,600.0,793.7039560802097,0.0
23:00,0.0,200.0,0.0,0.0,467.10017433750437,200.0
23:15,0.0,200.0,200.0,600.0,628.9493422297378,200.0
23:30,0.0,0.0,200.0,600.0,429.0557662764419,0.0
23:45,0.0,0.0,0.0,600.0,673.5017691288665,0.0
