,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,200.0,600.0,559.7292445071321,300.0
00:15,0.0,100.0,200.0,0.0,244.05542172105095,200.0
00:30,0.0,0.0,0.0,600.0,620.1478501054837,200.0
00:45,0.0,0.0,200.0,600.0,460.38980043983906,0.0
01:00,0.0,0.0,0.0,600.0,736.141002644211,0.0
01:15,0.0,0.0,0.0,600.0,706.2948691005383,0.0
01:30,0.0,0.0,0.0,600.0,618.6995349752583,0.0
01:45,0.0,0.0,0.0,600.0,669.9154868180682,0.0
02:00,0.0,0.0,0.0,0.0,1342.6926399125687,0.0
02:15,0.0,0.0,0.0,0.0,287.31654777856903,0.0
02:30,0.0,0.0,0.0,600.0,694.6980516527606,0.0
02:45,0.0,0.0,0.0,600.0,631.14877470546,0.0
03:00,0.0,200.0,0.0,600.0,869.5481090194203,200.0
03:15,0.0,200.0,0.0,600.0,843.0750979947506,400.0
03:30,0.0,0.0,200.0,600.0,454.94228686136,200.0
03:45,0.0,200.0,200.0,600.0,713.6816484790538,200.0
04:00,0.0,200.0,0.0,600.0,944.5665343029771,400.0
04:15,0.0,200.0,0.0,600.0,858.4053893600154,600.0
04:30,0.0,200.0,0.0,600.0,827.4789906027244,800.0
04:45,0.0,200.0,0.0,600.0,857.3597122479584,1000.0
05:00,0.0,0.0,0.0,600.0,724.2395398183081,1000.0
05:15,0.0,0.0,0.0,600.0,726.6707559066018,1000.0
05:30,0.0,0.0,0.0,600.0,651.0442088757087,1000.0
05:45,0.0,0.0,0.0,600.0,611.8918387311389,1000.0
06:00,0.0,0.0,0.0,600.0,612.4079341617606,1000.0
06:15,0.0,0.0,0.0,600.0,658.6689783681663,1000.0
06:30,0.0,0.0,0.0,600.0,714.5066822623146,1000.0
06:45,0.0,0.0,0.0,600.0,679.7892924754198,1000.0
07:00,0.0,0.0,0.0,600.0,597.8190034779419,1000.0
07:15,0.0,0.0,0.0,600.0,709.2431460775929,1000.0
07:30,0.0,0.0,0.0,600.0,686.5212679103444,1000.0
07:45,0.0,0.0,0.0,600.0,651.181219463837,1000.0
08:00,0.0,0.0,0.0,600.0,712.180389728528,1000.0
08:15,0.0,0.0,0.0,0.0,504.16713396482476,1000.0
08:30,0.0,0.0,0.0,0.0,467.34682014447304,1000.0
08:45,0.0,0.0,200.0,600.0,429.44038973101146,800.0
09:00,475.61952316689747,0.0,200.0,600.0,0.0,600.0
09:15,1200.0,0.0,200.0,600.0,505.4815512668665,400.0
09:30,461.4304482658664,0.0,200.0,600.0,0.0,200.0
09:45,862.559981882072,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,0.0,415.5366509562592,0.0
10:15,0.0,0.0,0.0,600.0,722.5062705604458,0.0
10:30,0.0,200.0,0.0,600.0,877.119199380583,200.0
10:45,0.0,0.0,200.0,600.0,482.8513564169957,0.0
11:00,0.0,200.0,0.0,600.0,986.0684000454598,200.0
11:15,0.0,0.0,200.0,600.0,505.20684213891195,0.0
11:30,0.0,0.0,0.0,600.0,661.7654773410404,0.0
11:45,0.0,0.0,0.0,0.0,445.42492088839595,0.0
12:00,0.0,0.0,0.0,600.0,608.3860750742117,0.0
12:15,0.0,0.0,0.0,600.0,655.6772998624656,0.0
12:30,0.0,0.0,0.0,600.0,643.2263855611226,0.0
12:45,0.0,200.0,0.0,600.0,931.8018046499911,200.0
13:00,0.0,200.0,0.0,0.0,723.8487788870074,400.0
13:15,0.0,200.0,0.0,0.0,1096.3207525464327,600.0
13:30,0.0,200.0,0.0,600.0,765.547103361145,800.0
13:45,0.0,200.0,0.0,600.0,833.6184559816683,1000.0
14:00,0.0,0.0,0.0,600.0,670.9552419849554,1000.0
14:15,0.0,0.0,0.0,600.0,575.995805751278,1000.0
14:30,0.0,0.0,0.0,600.0,564.818274455084,1000.0
14:45,0.0,0.0,0.0,600.0,600.8633846413647,1000.0
15:00,0.0,0.0,0.0,600.0,704.4192887009918,1000.0
15:15,0.0,0.0,0.0,600.0,768.403754834721,1000.0
15:30,0.0,0.0,0.0,600.0,678.0222638088846,1000.0
15:45,0.0,0.0,0.0,600.0,732.9811810379305,1000.0
16:00,948.8799110019834,0.0,0.0,600.0,0.0,1000.0
16:15,998.9467324583667,0.0,0.0,600.0,0.0,1000.0
16:30,905.0683086279737,0.0,200.0,600.0,0.0,800.0
16:45,1200.0,0.0,200.0,0.0,42.21858686734845,600.0
17:00,940.2373420398224,0.0,200.0,600.0,0.0,400.0
17:15,592.2258436771656,0.0,200.0,600.0,0.0,200.0
17:30,589.3213303847376,0.0,200.0,600.0,0.0,0.0
17:45,1015.0890912356858,200.0,0.0,600.0,0.0,200.0
18:00,1054.3071317418603,200.0,0.0,600.0,0.0,400.0
18:15,1150.510710452317,200.0,0.0,600.0,0.0,600.0
18:30,726.6902538431218,46.44176996838496,200.0,600.0,0.0,446.44176996838496
18:45,917.4498720122972,0.0,0.0,600.0,0.0,446.44176996838496
19:00,1200.0,0.0,200.0,600.0,330.54188911347956,246.44176996838496
19:15,1200.0,0.0,200.0,600.0,90.82080919454847,46.44176996838496
19:30,1200.0,200.0,46.44176996838496,600.0,0.0,200.0
19:45,1051.2897344696953,0.0,200.0,600.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0,744.7023509487883,0.0
20:15,0.0,0.0,0.0,0.0,612.7728819227405,0.0
20:30,0.0,0.0,0.0,0.0,1443.1792720946175,0.0
20:45,0.0,0.0,0.0,0.0,1180.5454131813935,0.0
21:00,0.0,0.0,0.0,0.0,1316.1393641939324,0.0
21:15,0.0,0.0,0.0,0.0,251.58998900060402,0.0
21:30,0.0,0.0,0.0,0.0,428.97803021391815,0.0
21:45,0.0,0.0,0.0,0.0,354.8179730739504,0.0
22:00,0.0,200.0,0.0,600.0,941.2865862603421,200.0
22:15,0.0,0.0,200.0,600.0,564.4775110360708,0.0
22:30,0.0,0.0,0.0,0.0,246.24632547415297,0.0
22:45,0.0,0.0,0.0,600.0,701.3994488550372,0.0
23:00,0.0,0.0,0.0,600.0,764.1456205557065,0.0
23:15,0.0,0.0,0.0,0.0,882.5070958799207,0.0
23:30,0.0,200.0,0.0,600.0,856.2983230851422,200.0
23:45,0.0,0.0,200.0,600.0,469.4728778291271,0.0
