,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,100.0,600.0,532.7786439726475,400.0
00:15,0.0,0.0,200.0,600.0,486.56920292136044,200.0
00:30,0.0,0.0,0.0,600.0,629.8475821368787,200.0
00:45,0.0,0.0,200.0,600.0,432.0116874591538,0.0
01:00,0.0,0.0,0.0,600.0,633.8213246048622,0.0
01:15,0.0,0.0,0.0,600.0,689.6830798299023,0.0
01:30,0.0,0.0,0.0,600.0,654.2230261258974,0.0
01:45,0.0,0.0,0.0,600.0,631.3333208453564,0.0
02:00,0.0,0.0,0.0,600.0,631.1836140921973,0.0
02:15,0.0,0.0,0.0,600.0,689.3594133037268,0.0
02:30,0.0,0.0,0.0,600.0,692.9972197779006,0.0
02:45,0.0,0.0,0.0,600.0,665.5098619962679,0.0
03:00,0.0,200.0,0.0,600.0,830.2147524758246,200.0
03:15,0.0,200.0,0.0,600.0,831.8485166089416,400.0
03:30,0.0,0.0,0.0,600.0,639.004415672557,400.0
03:45,0.0,0.0,200.0,600.0,546.8067637577017,200.0
04:00,0.0,200.0,0.0,600.0,853.9077251013479,400.0
04:15,0.0,200.0,0.0,600.0,829.4286658830486,600.0
04:30,0.0,200.0,0.0,600.0,828.3596822724742,800.0
04:45,0.0,200.0,0.0,600.0,847.8800473022909,1000.0
05:00,0.0,0.0,0.0,600.0,747.8072130987803,1000.0
05:15,0.0,0.0,0.0,600.0,633.961659866302,1000.0
05:30,0.0,0.0,0.0,600.0,621.4365447112987,1000.0
05:45,0.0,0.0,0.0,600.0,618.4611148832275,1000.0
06:00,0.0,0.0,0.0,600.0,605.949229520812,1000.0
06:15,0.0,0.0,0.0,600.0,661.3668874983717,1000.0
06:30,0.0,0.0,200.0,600.0,489.93587771441605,800.0
06:45,0.0,200.0,0.0,600.0,956.1008090221762,1000.0
07:00,0.0,0.0,0.0,0.0,339.4245785459081,1000.0
07:15,0.0,0.0,0.0,0.0,462.0275645425216,1000.0
07:30,0.0,0.0,0.0,0.0,630.0938547993816,1000.0
07:45,0.0,0.0,0.0,0.0,703.5911346022689,1000.0
08:00,0.0,0.0,0.0,0.0,1876.6345769044972,1000.0
08:15,0.0,0.0,0.0,0.0,463.34707684838276,1000.0
08:30,0.0,0.0,0.0,0.0,250.46427693561145,1000.0
08:45,0.0,0.0,200.0,0.0,32.433342975517746,800.0
09:00,618.588316927769,0.0,200.0,600.0,0.0,600.0
09:15,993.2533380256227,0.0,200.0,600.0,0.0,400.0
09:30,926.2010343142285,0.0,200.0,600.0,0.0,200.0
09:45,637.8713580144038,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,600.0,789.1664087047907,0.0
10:15,0.0,0.0,0.0,600.0,763.864252286724,0.0
10:30,0.0,0.0,0.0,600.0,647.7563540608836,0.0
10:45,0.0,0.0,0.0,600.0,585.8225937838558,0.0
11:00,0.0,0.0,0.0,600.0,595.6012061928193,0.0
11:15,0.0,0.0,0.0,600.0,612.6134213310316,0.0
11:30,0.0,0.0,0.0,600.0,594.8210804663912,0.0
11:45,0.0,0.0,0.0,600.0,596.0194261010843,0.0
12:00,0.0,0.0,0.0,600.0,569.4569236717507,0.0
12:15,0.0,200.0,0.0,600.0,790.4387983638392,200.0
12:30,0.0,200.0,0.0,600.0,761.7789690659343,400.0
12:45,0.0,0.0,200.0,600.0,433.9890326534153,200.0
13:00,0.0,200.0,0.0,600.0,748.5548673159053,400.0
13:15,0.0,200.0,0.0,600.0,737.7306653341227,600.0
13:30,0.0,200.0,0.0,600.0,733.0215433072485,800.0
13:45,0.0,200.0,0.0,600.0,772.4182748727378,1000.0
14:00,0.0,0.0,0.0,600.0,664.1436150999397,1000.0
14:15,0.0,0.0,0.0,600.0,554.9312800398613,1000.0
14:30,0.0,0.0,0.0,600.0,547.3287656902226,1000.0
14:45,0.0,0.0,0.0,600.0,568.2903572937819,1000.0
15:00,0.0,0.0,0.0,600.0,609.384833687572,1000.0
15:15,0.0,0.0,0.0,600.0,644.5344532895526,1000.0
15:30,0.0,0.0,0.0,600.0,637.70908422246,1000.0
15:45,0.0,0.0,0.0,600.0,705.0829650698413,1000.0
16:00,762.3992532350613,0.0,0.0,600.0,0.0,1000.0
16:15,767.6108932801362,0.0,0.0,600.0,0.0,1000.0
16:30,593.9084646266401,0.0,200.0,600.0,0.0,800.0
16:45,956.59811171309,0.0,200.0,600.0,0.0,600.0
17:00,692.4155745646459,0.0,200.0,600.0,0.0,400.0
17:15,793.9679030598465,0.0,200.0,600.0,0.0,200.0
17:30,622.6853727205722,0.0,200.0,600.0,0.0,0.0
17:45,986.81679372845,200.0,0.0,600.0,0.0,200.0
18:00,973.6222283046462,200.0,0.0,600.0,0.0,400.0
18:15,582.2638371854667,0.0,200.0,600.0,0.0,200.0
18:30,589.0748989216411,0.0,200.0,600.0,0.0,0.0
18:45,834.8004514365219,0.0,0.0,600.0,0.0,0.0
19:00,869.3474891992591,0.0,0.0,600.0,0.0,0.0
19:15,1067.2636767959889,200.0,0.0,600.0,0.0,200.0
19:30,822.4759426592177,200.0,200.0,600.0,0.0,200.0
