,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,200.0,600.0,432.4219889441042,300.0
00:15,0.0,100.0,200.0,600.0,533.1177531409659,200.0
00:30,0.0,0.0,0.0,600.0,633.6342149403877,200.0
00:45,0.0,0.0,200.0,600.0,433.7243844744347,0.0
01:00,0.0,0.0,0.0,600.0,631.9054268298156,0.0
01:15,0.0,0.0,0.0,600.0,663.8255414074774,0.0
01:30,0.0,0.0,0.0,600.0,724.6536789530156,0.0
01:45,0.0,0.0,0.0,600.0,674.8847146781608,0.0
02:00,0.0,0.0,0.0,600.0,634.2276613881439,0.0
02:15,0.0,0.0,0.0,600.0,634.4517572086139,0.0
02:30,0.0,0.0,0.0,600.0,674.8996266046722,0.0
02:45,0.0,0.0,0.0,600.0,733.1827979082169,0.0
03:00,0.0,0.0,0.0,600.0,662.0646106451111,0.0
03:15,0.0,0.0,0.0,600.0,632.6591583581226,0.0
03:30,0.0,200.0,0.0,600.0,838.452790872788,200.0
03:45,0.0,200.0,200.0,600.0,698.771347452041,200.0
04:00,0.0,200.0,0.0,600.0,910.1765851668539,400.0
04:15,0.0,200.0,0.0,600.0,846.353465584761,600.0
04:30,0.0,200.0,0.0,600.0,830.0841928704909,800.0
04:45,0.0,200.0,0.0,600.0,828.4355159313833,1000.0
05:00,0.0,0.0,0.0,600.0,678.3285977131831,1000.0
05:15,0.0,0.0,0.0,600.0,729.4307914859553,1000.0
05:30,0.0,0.0,0.0,600.0,633.1075097192836,1000.0
05:45,0.0,0.0,0.0,600.0,619.3377600532916,1000.0
06:00,0.0,0.0,0.0,600.0,602.7696669225295,1000.0
06:15,0.0,0.0,0.0,600.0,629.9526102541159,1000.0
06:30,0.0,0.0,200.0,600.0,448.1858489994894,800.0
06:45,0.0,200.0,0.0,600.0,799.4504957664908,1000.0
07:00,0.0,0.0,0.0,600.0,632.3226545650027,1000.0
07:15,0.0,0.0,0.0,600.0,610.4883353228256,1000.0
07:30,0.0,0.0,0.0,600.0,583.3548937455778,1000.0
07:45,0.0,0.0,0.0,600.0,637.1352141815834,1000.0
08:00,0.0,0.0,0.0,600.0,582.5633381112821,1000.0
08:15,0.0,0.0,0.0,600.0,620.8203281429462,1000.0
08:30,0.0,0.0,0.0,600.0,627.3506159705125,1000.0
08:45,0.0,0.0,200.0,600.0,355.4514788355161,800.0
09:00,348.58966621400464,0.0,200.0,600.0,0.0,600.0
09:15,363.15110437169415,0.0,200.0,600.0,0.0,400.0
09:30,388.36815149644553,0.0,200.0,600.0,0.0,200.0
09:45,397.8676114223614,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,600.0,583.5750523668605,0.0
10:15,0.0,200.0,0.0,600.0,760.143231784339,200.0
10:30,0.0,200.0,200.0,600.0,540.3248394258113,200.0
10:45,0.0,0.0,200.0,600.0,388.9944824537,0.0
11:00,0.0,0.0,0.0,600.0,702.2364284027652,0.0
11:15,0.0,0.0,0.0,600.0,619.0584796551891,0.0
11:30,0.0,0.0,0.0,600.0,562.8769297671349,0.0
11:45,0.0,0.0,0.0,600.0,628.9076347579786,0.0
12:00,0.0,0.0,0.0,600.0,564.4401449704836,0.0
12:15,0.0,0.0,0.0,600.0,638.4205801093077,0.0
12:30,0.0,0.0,0.0,600.0,583.3087262538478,0.0
12:45,0.0,200.0,0.0,600.0,827.034949139231,200.0
13:00,0.0,200.0,0.0,600.0,798.4915017216201,400.0
13:15,0.0,200.0,0.0,600.0,826.1705272581579,600.0
13:30,0.0,200.0,0.0,600.0,884.8507030874044,800.0
13:45,0.0,200.0,0.0,600.0,861.8139372381268,1000.0
14:00,0.0,0.0,0.0,600.0,646.0254604532346,1000.0
14:15,0.0,0.0,0.0,600.0,650.0592824799321,1000.0
14:30,0.0,0.0,0.0,0.0,230.0233816850437,1000.0
14:45,0.0,0.0,0.0,0.0,254.22405037112514,1000.0
15:00,0.0,0.0,0.0,0.0,229.6547492838516,1000.0
15:15,0.0,0.0,0.0,0.0,273.99998555123756,1000.0
15:30,0.0,0.0,0.0,0.0,227.4561929495356,1000.0
15:45,0.0,0.0,0.0,0.0,377.03192016147955,1000.0
16:00,805.6235817751125,0.0,0.0,600.0,0.0,1000.0
16:15,777.8641777585565,0.0,0.0,600.0,0.0,1000.0
16:30,693.8491620987472,0.0,200.0,600.0,0.0,800.0
16:45,819.8936433277195,0.0,200.0,600.0,0.0,600.0
17:00,809.5833131553745,0.0,200.0,600.0,0.0,400.0
17:15,880.3852139413466,0.0,200.0,600.0,0.0,200.0
17:30,781.4608638989432,0.0,200.0,600.0,0.0,0.0
17:45,1165.5346141668933,200.0,0.0,600.0,0.0,200.0
18:00,1099.6640430341972,0.0,0.0,600.0,0.0,200.0
18:15,685.6876085720453,0.0,200.0,600.0,0.0,0.0
18:30,934.7358265127548,0.0,0.0,600.0,0.0,0.0
18:45,983.0151272441323,0.0,0.0,600.0,0.0,0.0
19:00,994.6184347123842,0.0,0.0,600.0,0.0,0.0
19:15,1090.0396534621536,200.0,0.0,600.0,0.0,200.0
