,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,200.0,600.0,432.09291615672214,300.0
00:15,0.0,0.0,100.0,600.0,530.1868373706559,200.0
00:30,0.0,0.0,0.0,600.0,629.248418454503,200.0
00:45,0.0,0.0,200.0,600.0,430.552921393721,0.0
01:00,0.0,0.0,0.0,600.0,628.367633923099,0.0
01:15,0.0,0.0,0.0,600.0,668.2518722146596,0.0
01:30,0.0,0.0,0.0,600.0,679.6862894929817,0.0
01:45,0.0,0.0,0.0,600.0,675.5210943915371,0.0
02:00,0.0,0.0,0.0,600.0,671.1051342783102,0.0
02:15,0.0,0.0,0.0,600.0,631.6544982129079,0.0
02:30,0.0,0.0,0.0,600.0,630.8162174225099,0.0
02:45,0.0,0.0,0.0,600.0,630.2074560695016,0.0
03:00,0.0,200.0,0.0,600.0,830.0966222870613,200.0
03:15,0.0,200.0,0.0,600.0,835.2994683533813,400.0
03:30,0.0,0.0,200.0,600.0,517.5145651133952,200.0
03:45,0.0,0.0,0.0,600.0,711.5962280316554,200.0
04:00,0.0,200.0,0.0,600.0,828.7955408414961,400.0
04:15,0.0,200.0,0.0,600.0,830.0565706572226,600.0
04:30,0.0,200.0,0.0,600.0,832.3865641164957,800.0
04:45,0.0,200.0,0.0,600.0,899.9309483476097,1000.0
05:00,0.0,0.0,0.0,600.0,718.1249307749982,1000.0
05:15,0.0,0.0,0.0,600.0,722.8289130945878,1000.0
05:30,0.0,0.0,0.0,600.0,626.0949060865132,1000.0
05:45,0.0,0.0,0.0,600.0,625.253971877261,1000.0
06:00,0.0,0.0,0.0,600.0,688.9947924420746,1000.0
06:15,0.0,0.0,0.0,600.0,676.8007817792652,1000.0
06:30,0.0,0.0,0.0,600.0,618.1280459729953,1000.0
06:45,0.0,0.0,0.0,600.0,616.976484190737,1000.0
07:00,0.0,0.0,0.0,600.0,648.2134029450863,1000.0
07:15,0.0,0.0,0.0,600.0,743.4014435486695,1000.0
07:30,0.0,0.0,0.0,600.0,774.4739635065041,1000.0
07:45,0.0,0.0,0.0,0.0,304.66163066827494,1000.0
08:00,0.0,0.0,0.0,600.0,765.5342507978378,1000.0
08:15,0.0,0.0,0.0,600.0,776.9089860662541,1000.0
08:30,0.0,0.0,0.0,600.0,797.5214423573152,1000.0
08:45,0.0,0.0,200.0,600.0,534.9784182345531,800.0
09:00,550.9981658583549,0.0,200.0,600.0,0.0,600.0
09:15,594.6507761492466,0.0,200.0,600.0,0.0,400.0
09:30,543.9423996983663,0.0,200.0,600.0,0.0,200.0
09:45,506.30858454040435,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,600.0,769.7682217249005,0.0
10:15,0.0,0.0,0.0,600.0,701.7379706618999,0.0
10:30,0.0,0.0,0.0,600.0,690.9361143777868,0.0
10:45,0.0,0.0,0.0,600.0,639.3792796452038,0.0
11:00,0.0,0.0,0.0,600.0,624.1267108766791,0.0
11:15,0.0,0.0,0.0,600.0,637.8570611986444,0.0
11:30,0.0,0.0,0.0,600.0,787.3367869870794,0.0
11:45,0.0,0.0,0.0,600.0,729.7797418554601,0.0
12:00,0.0,200.0,0.0,600.0,955.5192737196246,200.0
12:15,0.0,200.0,200.0,600.0,728.4634457856445,200.0
12:30,0.0,0.0,200.0,600.0,559.577681418719,0.0
12:45,0.0,200.0,0.0,0.0,405.2570310709252,200.0
13:00,0.0,200.0,0.0,600.0,856.8314377311401,400.0
13:15,0.0,200.0,0.0,0.0,587.7107084894528,600.0
13:30,0.0,200.0,0.0,0.0,671.7417831562477,800.0
13:45,0.0,200.0,0.0,0.0,854.5436080571127,1000.0
14:00,0.0,0.0,0.0,0.0,201.5070989951829,1000.0
14:15,0.0,0.0,0.0,600.0,734.3704182218219,1000.0
14:30,0.0,0.0,0.0,0.0,249.56320007986713,1000.0
14:45,0.0,0.0,0.0,600.0,781.0446399693659,1000.0
15:00,0.0,0.0,0.0,0.0,252.67080389660396,1000.0
15:15,0.0,0.0,0.0,0.0,281.16307625010114,1000.0
15:30,0.0,0.0,200.0,0.0,92.7678372372817,800.0
15:45,0.0,200.0,0.0,600.0,898.6433859350727,1000.0
16:00,744.6531205701326,0.0,0.0,600.0,0.0,1000.0
16:15,718.925984075059,0.0,0.0,600.0,0.0,1000.0
16:30,512.1186226294545,0.0,200.0,600.0,0.0,800.0
16:45,905.2149679603423,200.0,0.0,600.0,0.0,1000.0
17:00,749.9601076975143,0.0,0.0,600.0,0.0,1000.0
17:15,843.3703905159298,0.0,0.0,600.0,0.0,1000.0
17:30,843.6536820068667,0.0,0.0,600.0,0.0,1000.0
17:45,882.6211126930882,0.0,0.0,600.0,0.0,1000.0
