,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,0.0,100.0,600.0,533.6860789942867,400.0
00:15,0.0,0.0,200.0,0.0,20.21571193676769,200.0
00:30,0.0,0.0,0.0,600.0,799.714064074163,200.0
00:45,0.0,0.0,200.0,600.0,538.2160553003405,0.0
01:00,0.0,0.0,0.0,600.0,777.8006359279752,0.0
01:15,0.0,0.0,0.0,600.0,754.9234626405496,0.0
01:30,0.0,0.0,0.0,600.0,787.9222786821177,0.0
01:45,0.0,0.0,0.0,0.0,220.72683890815128,0.0
02:00,0.0,0.0,0.0,0.0,200.2132257380921,0.0
02:15,0.0,0.0,0.0,0.0,203.01555044811715,0.0
02:30,0.0,0.0,0.0,600.0,790.6245493499429,0.0
02:45,0.0,0.0,0.0,0.0,256.5820170080442,0.0
03:00,0.0,0.0,0.0,600.0,669.1146118392777,0.0
03:15,0.0,0.0,0.0,600.0,670.9139017544131,0.0
03:30,0.0,0.0,0.0,600.0,658.7344007209588,0.0
03:45,0.0,200.0,0.0,600.0,855.6187153435261,200.0
04:00,0.0,200.0,0.0,600.0,910.6740262967184,400.0
04:15,0.0,200.0,0.0,600.0,884.2662759034347,600.0
04:30,0.0,200.0,0.0,600.0,893.8564085575817,800.0
04:45,0.0,200.0,0.0,600.0,835.2076761361101,1000.0
05:00,0.0,0.0,0.0,600.0,643.1018030620904,1000.0
05:15,0.0,0.0,0.0,600.0,675.0541391678066,1000.0
05:30,0.0,0.0,200.0,600.0,481.10803235228786,800.0
05:45,0.0,200.0,0.0,600.0,927.8544322619908,1000.0
06:00,0.0,0.0,0.0,600.0,637.3537591755008,1000.0
06:15,0.0,0.0,0.0,600.0,597.3887913442769,1000.0
06:30,0.0,0.0,200.0,600.0,397.7686968076234,800.0
06:45,0.0,200.0,0.0,600.0,795.1024281379715,1000.0
07:00,0.0,0.0,0.0,600.0,687.8930788179721,1000.0
07:15,0.0,0.0,0.0,0.0,217.18977679372856,1000.0
07:30,0.0,0.0,0.0,600.0,742.0351266373206,1000.0
07:45,0.0,0.0,0.0,0.0,609.8341643139008,1000.0
08:00,0.0,0.0,0.0,0.0,568.0118831255264,1000.0
08:15,0.0,0.0,0.0,0.0,1054.5665206793212,1000.0
08:30,0.0,0.0,0.0,0.0,703.6023712544877,1000.0
08:45,0.0,0.0,200.0,600.0,501.19201056154293,800.0
09:00,1200.0,0.0,200.0,600.0,58.494767554800774,600.0
09:15,1082.086173672828,0.0,200.0,600.0,0.0,400.0
09:30,434.95870547837706,0.0,200.0,600.0,0.0,200.0
09:45,560.2732305808424,0.0,200.0,600.0,0.0,0.0
10:00,0.0,0.0,0.0,600.0,594.6845522318088,0.0
10:15,0.0,0.0,0.0,600.0,612.5398959317486,0.0
10:30,0.0,0.0,0.0,600.0,606.3670026829573,0.0
10:45,0.0,0.0,0.0,600.0,565.1502698793826,0.0
11:00,0.0,0.0,0.0,600.0,665.6127986305007,0.0
11:15,0.0,0.0,0.0,600.0,624.4569038945515,0.0
11:30,0.0,0.0,0.0,600.0,590.5558442645313,0.0
11:45,0.0,0.0,0.0,600.0,592.4975740236864,0.0
12:00,0.0,0.0,0.0,600.0,578.3353426246443,0.0
12:15,0.0,200.0,0.0,600.0,844.9877355241649,200.0
12:30,0.0,200.0,0.0,600.0,762.0430679151223,400.0
12:45,0.0,0.0,200.0,600.0,398.56605665652387,200.0
13:00,0.0,200.0,0.0,600.0,800.1596313810534,400.0
13:15,0.0,200.0,0.0,600.0,782.6406217012619,600.0
13:30,0.0,200.0,0.0,600.0,719.915204010124,800.0
13:45,0.0,200.0,0.0,0.0,1189.995344798031,1000.0
14:00,0.0,0.0,200.0,0.0,132.6165667491931,800.0
